vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
SHA Paid Facilities - July,,2025.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
1 A.I.C GITHUMU MISSION HOSPITAL,,537000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
2 A.I.C KAPSOWAR MISSION HOSPITAL,,145600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
3 AAR HOSPITAL LIMITED MUTHAIGA,,212800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
4 AFRICA INUKA HOSPITAL LTD- MILIMANI,,1051119.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
5 AFRICA INUKA HOSPITAL LTD-MADEYA,,234800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
6 AFRICA MUSLIM AGENCY HEALTH CENTRE,,103600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
7 AFYA INTERNATIONAL HOSPITAL,,112000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
8 AFYAPOINT MEDICARE LIMITED -ANNEX,,302400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
9 AIC CURE INTERNATIONAL HOSPITAL,,3371200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
10 AIC KIJABE HOSPITAL,,22065080.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
11 AIC LITEIN HOSPITAL,,6919638.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
12 AL-AMANNAH HOSPITAL,,768880.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
13 AL-BASRAH HOSPITAL LTD,,33600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
14 AL-FOWZ NURSING HOME,,44800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
15 AL-MAQDIS MEDICAL CENTRE,,72240.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
16 AL-SIHA NURSING HOME,,134400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
17 ALFAROOQ HOSPITAL LTD,,950840.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
18 ALPHA HILL MEDICAL CENTER LIMITED,,2406320.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
19 ANKA HOSPITAL LIMITED,,145600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
20 ANTALIYA HOSPITAL LIMITED,,470100.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
21 APEX HEAL EYE CENTRE LIMITED,,100800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
22 ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,,828800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
23 ASTER HEALTHCARE LIMITED,,2060800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
24 AVENUE HOSPITAL,,2124200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
25 AVENUE HOSPITAL THIKA,,956480.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
26 AVENUE HOSPITAL- KISUMU,,2504280.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
27 BAMA HOSPITAL LLP,,361780.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
28 BAYLEAF HEALTH CENTRE,,2212000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
29 BELARISU MEDICAL CENTRE,,660800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
30 BESTCARE HOSPITAL LIMITED,,235200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
31 BETHESDA HEALTH CARE SERVICES COMPANY LIMITED,,5252800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
32 BEYOND SCOPE HOSPITAL,,56000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
33 BIBLE FAITH CHURCH MEDICAL SERVICES,,1295280.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
34 BISHOP U. J. KIOKO CATHOLIC HOSPITAL,,313600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
35 BLOOM HOSPITAL NAKURU LIMITED,,67200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
36 BLOOM SURGICAL CENTRE LIMITED - KISUMU,,313040.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
37 BOSONGO MEDICAL CENTRE,,33593280.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
38 BRISTOL PARK HOSPITAL MACHAKOS,,268240.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
39 BRISTOL PARK HOSPITAL-KITENGELA,,201600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
40 BULLA MPYA NURSING HOME,,133840.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
41 BUNGOMA COUNTY REFERRAL HOSPITAL,,145600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
42 BUNGOMA WEST HOSPITAL,,778400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
43 BUSHRAA MEDICAL CENTRE,,403200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
44 CANA HOSPITAL,,156800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
45 CARMEL HOSPITAL,,112000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
46 CEDAR HOSPITAL,,392000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
47 CENTRAL MEMORIAL HOSPITAL LTD,,403200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
48 CHEBIEMIT SUB COUNTY HOSPITAL,,168000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
49 CHELYMO MEDICAL CENTRE,,6738800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
50 CHESONGOCH MISSION HOSPITAL,,168000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
Page 1 of,,7.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
51 CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,,705600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
52 CHUKA NURSING HOME,,33600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
53 CITY EYE HOSPITAL,,5328040.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
54 CITY EYE HOSPITAL LIMITED,,1189440.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
55 CITY GATE DOCTORS PLAZA LTD,,884800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
56 CONSOLATA HOSPITAL KYENI,,222840.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
57 CONSOLATA COTTAGE HOSPITAL CHUKA,,470400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
58 CONSOLATA HOSPITAL GITORO,,89600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
59 CONSOLATA HOSPITAL MATHARI,,1474480.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
60 CONSOLATA HOSPITAL NANYUKI,,134400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
61 CONSOLATA HOSPITAL NKUBU,,1993600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
62 COPTIC HOSPITAL - LUANDA,,234000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
63 COPTIC HOSPITAL - NGONG ROAD,,1512000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
64 COTTOLENGO MISSION HOSPITAL,,1489040.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
65 COUNTY MEDICAL CENTRE EMBU LTD,,847840.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
66 CROWN SPECIALIST CENTRE,,1012440.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
67 DARUSALAAM HOSPITAL,,89600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
68 DIANI BEACH HOSPITAL,,190400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
69 DOPHIL NURSING &amp; MATERNITY HOME NOMIYA FAITH BASED,,1783600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
70 DR AGARWALS EYE HOSPITAL,,1728000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
71 DR.AGARWAL'S EYE HOSPITAL,,33600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
72 EAGLE HEALTH AND CLINIC SERVICES,,1265600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
73 EASTEND DOCTORS PLAZA MEDICAL CENTRE LIMITED,,145600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
74 ELDAMA RAVINE NURSING HOME,,179200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
75 ELDAMA RAVINE SUB-COUNTY HOSPITAL,,190400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
76 ELDO EYE CENTER LIMITED,,535200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
77 ELDORET HOSPITAL,,784000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
78 ELDORET MEDICAL SPECIALISTS CENTRE,,11200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
79 ELWAK NURSING HOME LIMITED,,501200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
80 EMBU CHILDREN HOSPITAL,,100800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
81 EMBU CHILDREN\'S CLINIC,,515200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
82 EMBU COUNTY REFERRAL HOSPITAL,,940800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
83 EMORY HOSPITAL LIMITED,,235200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
84 ESTEEMED KUTUS MODERN HOSPITAL,,1131198.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
"85 EXCEL HEALTH SERVICES, GARISSA",,616000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
86 FAMILYFIRST MEDICAL CENTRE LIMITED,,168000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
87 FAVOUR MEDICAL SERVICES,,310900.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
88 FOUNTAIN HEALTHCARE LTD BUNGOMA,,190400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
89 FREVANE HOSPITAL,,89600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
90 FRIENDS CHURCH SABATIA EYE HOSPITAL,,6421396.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
91 FRIENDS LUGULU HOSPITAL,,235200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
92 GAICHANJIRU CATHOLIC HOSPITAL,,951440.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
93 GALAXY HOSPITAL LIMITED,,436800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
94 GALILEE HOSPITAL KITALE LIMITED,,1952800.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
95 GANJONI HOSPITAL MOMBASA LIMITED,,235200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
96 GARISSA DOCTORS PLAZA,,106400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
97 GARISSA ENT MEDICAL CENTRE,,524720.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
98 GARISSA NURSING HOME,,403200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
99 GLENFIN DONHOLM HOSPITAL LIMITED,,257600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
100 GOODWILL COTTAGE HOSPITAL,,7612640.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
Page 2 of,,7.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
101 GRACE PARK MEDICAL CENTRE,,3259200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
102 GRAND ROYALCARE MEDICAL CLINIC LIMITED,,8302560.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
103 GREENVIEW NURSING HOME,,33600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
104 GUARDIAN HOSPITAL LIMITED,,3382400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
105 GURU NANAK RAMGARHIA HOSPITAL,,190400.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
106 HAVANA HOSPITAL LIMITED,,948080.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
107 HAVEN HOSPITAL BONDO,,782440.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
108 HEALTHGATE HOSPITAL LTD,,123200.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
109 HOLY FAMILY HOSPITAL NANGINA,,89600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
110 HOMABAY COUNTY REFERRAL HOSPITAL,,89600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
111 HOMEGROUND MEDICAL CENTRE,,89600.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
112 HOPE MATTERS INTERNATIONAL-VILLAGE OF HOPE HOSPITAL,,134000.0,July,2025,3,SHA_PAYMENTS_JULY_2025_3.pdf
