vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
49 ARCHERS POST SUB-COUNTY HOSPITAL,,661920.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
50 ARCHERS POST SUB-COUNTY HOSPITAL,,50400.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
Page 1 of,,33.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
51 AROHA CANCER CENTRE LTD,,4751830.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
52 AROHA CANCER CENTRE LTD,,1000.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
53 ARROR HEALTH CENTRE,,1426880.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
54 ARROR HEALTH CENTRE,,293440.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
55 ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,,416640.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
56 ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,,252000.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
57 ASUMBI GIRLS MEDICAL CLINIC,,51520.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
58 ATHIBOHOL HEALTH CENTER,,6720.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
59 AVENUE HEALTHCARE GREENSPAN MEDICAL CENTRE,,1480350.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
60 AVENUE HOSPITAL,,12957618.56,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
61 AVENUE HOSPITAL,,401237.14,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
62 AVENUE HOSPITAL THIKA,,12268800.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
63 AVENUE HOSPITAL THIKA,,95850.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
64 AVENUE HOSPITAL- KISUMU,,4920300.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
65 AVENUE HOSPITAL- KISUMU,,1054350.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
66 AWENDO SUB-COUNTY HOSPITAL,,218320.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
67 AWENDO SUB-COUNTY HOSPITAL,,6720.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
68 BAHAI HEALTH CENTRE,,8960.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
69 BAHATI SUB-COUNTY HOSPITAL,,198240.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
70 BAHATI SUB-COUNTY HOSPITAL,,30240.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
71 BALAMBALA SUB-COUNTY HOSPITAL,,130800.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
72 BALDO IPPOLITA CATHOLIC HEALTH CENTRE,,165760.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
73 BALDO IPPOLITA CATHOLIC HEALTH CENTRE,,26880.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
74 BAMBA SUB-COUNTY HOSPITAL,,4480.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
75 BAMBA SUB-COUNTY HOSPITAL,,4480.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
76 BANISA SUB COUNTY HOSPITAL,,94080.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
77 BARAGOI SUB-COUNTY HOSPITAL,,73920.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
78 BARINGO COUNTY REFERRAL HOSPITAL,,7334850.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
79 BARINGO COUNTY REFERRAL HOSPITAL,,587750.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
81 BARTABWA HEALTH CENTRE,,4480.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
80 BARTABWA HEALTH CENTRE,,2240.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
82 BAYAAN NURSING HOME,,1980900.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
83 BAYAAN NURSING HOME,,415350.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
84 BAYLEAF HEALTH CENTRE,,10650.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
85 BETTER LIVING HOSPITAL,,22400.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
86 BETTER LIVING HOSPITAL,,4480.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
87 BISHOP U. J. KIOKO CATHOLIC HOSPITAL,,7454070.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
88 BISHOP U. J. KIOKO CATHOLIC HOSPITAL,,155250.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
89 BISSIL HEALTH CENTRE,,96320.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
90 BLOOM DHAHABU LIMITED,,27354942.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
91 BLOOM DHAHABU LIMITED,,2196160.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
92 BLOOM HEALTHCARE MACHAKOS,,14013250.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
93 BLOOM HEALTHCARE MACHAKOS,,3208150.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
94 BLOOM HOSPITAL NAKURU LIMITED,,1895700.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
95 BLOOM HOSPITAL NAKURU LIMITED,,351450.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
96 BLUE RIDGE MEDICAL LTD,,1373850.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
97 BLUE RIDGE MEDICAL LTD,,362100.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
98 BLUE RIDGE MEDICAL - THIKA,,1986350.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
99 BLUE RIDGE MEDICAL - THIKA,,494050.0,July,2025,1,SHA_PAID_FACILITIES_JULY_2025.pdf
