vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
SHA Paid Facilities - July,,2025.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
1 3RD PARK HOSPITAL LIMITED,,33600.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
2 A.I.C GITHUMU MISSION HOSPITAL,,1062800.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
3 A.I.C KAPSOWAR MISSION HOSPITAL,,224000.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
4 AFRICA INUKA HOSPITAL LTD- MILIMANI,,1552300.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
5 AFRICA INUKA HOSPITAL LTD-MADEYA,,212800.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
6 AFRICA MUSLIM AGENCY HEALTH CENTRE,,3549280.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
7 AFYA INTERNATIONAL HOSPITAL,,627200.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
8 AIC CURE INTERNATIONAL HOSPITAL,,1736000.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
9 AIC KIJABE HOSPITAL,,14537960.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
10 AIC LITEIN HOSPITAL,,3387600.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
11 AL-AMANNAH HOSPITAL,,772800.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
12 AL-BUSHRA MEDICAL CENTRE,,145600.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
13 AL-FOWZ NURSING HOME,,134400.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
14 ALPHA HILL MEDICAL CENTER LIMITED,,2354800.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
15 ANSARI MEDICAL CLINIC &amp; LABORATORY,,56000.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
16 ANTALIYA HOSPITAL LIMITED,,737840.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
17 APEX HEAL EYE CENTRE LIMITED,,100800.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
18 ARAWA HOSPITAL LIMITED,,537600.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
19 ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,,1142400.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
20 ASTER HEALTHCARE LIMITED,,2210880.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
21 AVENUE HOSPITAL,,593600.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
22 AVENUE HOSPITAL THIKA,,156800.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
23 AVENUE HOSPITAL- KISUMU,,1412960.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
24 BAMA HOSPITAL LLP,,526400.0,July,2025,4,SHA_PAYMENTS_JULY_2025_4.pdf
