vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
ALFAROOQ HOSPITAL LTD,,80000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALFOMBIU MEDICAL CLINIC,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALIMAOW HEALTH CENTRE,,430000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALIMAOW NURSING HOME,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AL-ISHRAQ NURSING HOME LIMITED,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALLIANCE MEDICAL CENTRE,,149099.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALLIANCE MEDICAL CENTRE LTD GARISSA,,820050.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALLIANCE MEDICAL CENTRE MOMBASA,,138450.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALLUC MEDICAL CENTRE,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALMAS MEDICAL SERVICES,,160000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AL-MUHARAM NURSING HOME LTD,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AL-NAS NURSING HOME,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALPHA HILL MEDICAL CENTER LIMITED,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALPHA MEDICAL CENTRE- KAEWA,,5000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALPHIL MATERNITY AND NURSING HOME,,109000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALPHIL MEDICAL CENTRE LIMITED - NAKURU,,320000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALPHIL MEDICAL CENTRE LIMITED- KABURWO,,110000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALPO MEDICAL CENTRE,,110000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AL-SIHA NURSING HOME,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALUM BEACH DISPENSARY,,160000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ALUNGU HEALTH CENTRE,,100000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMANE COTTAGE HOSPITAL,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMBIRA SUB-COUNTY HOSPITAL,,1610000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMBOSELI DISPENSARY,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMI RUHAMA CHURCH WARABA MEDICAL CENTRE,,340000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMINA COMMUNITY HOSPITAL CENTRE LIMITED,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMOYO DISPENSARY,,150000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMUKURA SUB-COUNTY HOSPITAL,,430000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMUMA DISPENSARY,,120000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AMURT HEALTH CARE CENTRE MALINDI MUYEYE CLI N I C,,130000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANDERSEN MEDICAL CENTRE,,170000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANDIWO DISPENSARY,,290000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANGAGA DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANGATA BARRIKOI HEALTH CENTRE,,630000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANGOGO DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANGOLA HEALTH CENTRE,,120000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANGURAI HEALTH CENTRE,,210000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANISAA MEDICAL CARE,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANKA HOSPITAL LIMITED,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANNET DISPENSARY,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANNEX LOC MEDICARE,,250000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANOLE HEALTHCENTRE,,100000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANTALIYA HOSPITAL LIMITED,,450000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ANYUONGI DISPENSARY,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
APODA MEDICAL CLINIC,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
APOSTA HEALTH CENTRE,,50000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
APPEX HOSPITAL,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ARAWA HOSPITAL LIMITED,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ARCHER'S POST CATHOLIC HEALTH CENTRE,,174350.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Ardagarbicha Dispensary,,300000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ARDAHAGARSU DISPENSARY,,339500.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ARESA DISPENSARY,,250000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ARISE HOSPITAL,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ARITO LANGI DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AROMBE DISPENSARY,,170000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ARROR HEALTH CENTRE,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ASAD MEDICAL CENTRE,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ASAYI DISPENSARY,,240000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ASHABITO MEDICAL CENTRE,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ASHBURN COMMUNITY NURSING HOME,,210000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITA L,,590000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ATHI KAMUNYUNI HEALTH CENTRE,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ATHI RIVER MEDICAL SERVICES,,660000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
ATHIBOHOL HEALTH CENTER,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AUSMUDULE DISPENSARY,,100000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AVENUE HEALTHCARE GREENSPAN MEDICAL CENTR E,,63900.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AVENUE HOSPITAL,,442670.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AVENUE HOSPITAL- KISUMU,,713550.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AVENUE HOSPITAL THIKA,,3176203.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
AWALOW NURSING HOME LIMITED,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAARI HEALTH CENTRE,,170000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BABADOGO HEALTH CENTRE,,1300000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BACHILE DISPENSARY,,410000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAHATI DISPENSARY-NAKURU,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAHATI HOSPITAL,,700000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAHATI HOSPITAL JOSKA BRANCH,,672000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAHATI SUB-COUNTY HOSPITAL,,2650000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BALAMBALA SUB-COUNTY HOSPITAL,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BALATUL-AMIN DISPENSARY,,80000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BALDO IPPOLITA CATHOLIC HEALTH CENTRE,,100000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BALE DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAMA HOSPITAL LLP,,120000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAMBOO HEALTH CENTRE,,80000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BANANEY NURSING HOME LIMITED,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BANDE DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BANISA SUB COUNTY HOSPITAL,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAOLALA MODEL HEALTH CENTRE,,420000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAR ACHUTH DISPENSARY,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAR AGULU DISPENSARY,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAR NDEGE DISPENSARY,,330000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAR OLENGO DISPENSARY,,140000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARAGU HEALTH CENTRE,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
Baraka Maternity Home,,290000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARANI DISPENSARY,,350000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARICHO CATHOLIC HEALTH CENTRE,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARICHO DISPENSARY,,180000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
