vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
1 3RD PARK HOSPITAL LIMITED,,131040.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
2 A.I.C GITHUMU MISSION HOSPITAL,,6193640.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
3 A.I.C KAPSOWAR MISSION HOSPITAL,,1968400.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
4 AAR HOSPITAL LIMITED MUTHAIGA,,1259670.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
5 ABAKORE SUB-COUNTY HOSPITAL,,134400.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
6 ABRAR HEALTH SERVICES MANDERA LIMITED,,11200.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
7 ABUBAKAR SIDIQ NURSING HOME,,181440.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
8 ABYAN HOSPITAL LIMITED,,6395200.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
9 ACELA MEDICAL CENTRE LIMITED,,1354080.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
10 ACK MT KENYA HOSPITAL MWEA,,1718080.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
11 ACK PORT FLORENCE COMMUNITY HOSPITAL,,125440.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
12 ACORN COMMUNITY HOSPITAL LIMITED,,1637440.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
13 ADADI DISPENSARY,,30000.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
14 ADADIJOLE DISPENSARY,,80000.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
15 ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS LIMITED,,159750.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
16 AFLAH MEDICAL CENTRE,,371840.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
17 AFNAAN HEALTHCARE SERVICES,,56000.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
18 AFRAHA MATERNITY AND NURSING HOME,,35840.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
19 AFRICA INUKA HOSPITAL LTD- MILIMANI,,6802279.9,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
20 AFRICA INUKA HOSPITAL LTD- UGUNJA,,916160.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
21 AFRICA INUKA HOSPITAL LTD-KISUMU,,6993040.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
22 AFRICA INUKA HOSPITAL LTD-MADEYA,,3979920.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
23 AFRICA MUSLIM AGENCY HEALTH CENTRE,,2128000.0,August,2025,1,SHA_PAYMENTS_AUGUST_2025_1.pdf
