vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
47 ST. ELIZABETH MISSION HOSPITAL MUKUMU,,21420948.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
48 KITUI COUNTY REFERRAL HOSPITAL,,20589032.5,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
49 RACECOURSE HOSPITAL,,20565310.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
50 KERUGOYA COUNTY REFERRAL HOSPITAL,,20077250.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
51 OUR LADY OF LOURDES MWEA HOSPITAL,,19982860.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
52 PCEA TUMUTUMU MISSION HOSPITAL,,19085484.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
53 ABM SPECIALIZED HOSPITAL,,18982620.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
54 NYAMIRA COUNTY REFERAL HOSPITAL,,18617280.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
55 ST. ANNE MISSION HOSPITAL,,18024770.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
56 THIKA COUNTY REFERRAL HOSPITAL,,17904220.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
57 BUNGOMA COUNTY REFERRAL HOSPITAL,,17846940.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
58 THE THIKA SAM'S HOSPITAL(ANNEX) LTD,,17713120.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
59 FRIENDS CHURCH SABATIA EYE HOSPITAL,,17527660.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
60 MACHAKOS COUNTY REFERRAL HOSPITAL,,17478861.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
61 KISUMU COUNTY REFERRAL HOSPITAL,,17465600.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
62 CHELYMO MEDICAL CENTRE,,17345440.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
63 WEBUYE SUB-COUNTY HOSPITAL,,17102160.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
64 JUMUIA FRIENDS HOSPITAL KAIMOSI,,16845580.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
65 HOMABAY COUNTY REFERRAL HOSPITAL,,16839810.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
66 ASTER HEALTHCARE LIMITED,,16542157.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
67 THE AGA KHAN HOSPITAL MOMBASA,,16473931.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
68 NYANGENA HOSPITAL LTD,,16278400.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
69 RANGWE SUB-COUNTY HOSPITAL,,16119200.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
70 KAPLONG MISSION HOSPITAL,,16112460.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
71 CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI),,15799440.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
72 LIONS SIGHTFIRST EYES HOSPITAL,,15792240.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
73 KENOL HOSPITAL LTD,,15787840.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
74 THE NAKURU SPECIALIST HOSPITAL LTD(CANCER &amp; INFECTIOUS DESEA S E ),,15595440.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
75 THE NAIROBI HOSPITAL,,15557943.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
76 PREMIER HOSPITAL,,15257463.93,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
77 MURANG'A COUNTY REFERRAL HOSPITAL,,15094161.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
78 SILOAM HOSPITAL LIMITED,,15078126.99,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
79 MT. KENYA ACK HOSPITAL,,15025120.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
80 LIFECARE HOSPITAL LIMITED-MERU,,14996358.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
81 KENYATTA NATIONAL HOSPITAL - OTHAYA,,14800750.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
82 BOGOTA-BAG IMAGING AND NURSING HOME,,14561520.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
83 MOMBASA BREEZE HOSPITAL(MBH) LIMITED,,14413220.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
84 GUARDIAN HOSPITAL LIMITED,,14390330.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
85 LIFECARE HOSPITALS BUNGOMA LTD,,14350460.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
86 IMARA HOSPITAL EMBU,,14301920.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
87 QASIMS HOSPITAL LIMITED,,14265240.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
88 OASIS SPECIALIST HOSPITAL,,14176920.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
89 KERICHO COUNTY REFFERAL HOSPITAL,,14114449.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
