vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
ACK DR. PIKE ROPER MEDICAL CENTRE,,70000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
AIC KAJIADO HEALTH CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
ALMAS MEDICAL SERVICES,,30000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
AMUMA DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
ASHBURN COMMUNITY NURSING HOME,,20000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
AUSMUDULE DISPENSARY,,20000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BABADOGO HEALTH CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BANDE DISPENSARY,,20000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BAR ACHUTH DISPENSARY,,20000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BELLEVUE HEALTH CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BOKIMAI DISPENSARY,,30000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BUHURU PONYA MEDICAL CENTRE,,30000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BUKOKHOLO DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BUNGOMA COUNTY REFERRAL HOSPITAL,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BURJOHN DISPENSARY,,70000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
BUTINGO DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
CANCER CARE INTERNATIONAL,,1236700.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
CARITAS MARIANA MAG. WALTRAUD SCHULTZ MEMORIAL DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
CHALANI DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
CHEGULO DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
CHEMWOROR HEALTH CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
CHEPTALAL SUB-COUNTY HOSPITAL,,40000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
COWDRAY DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
DAGAMRA DISPENSARY,,50000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
DAGORETTI SUB-COUNTY HOSPITAL MUTUINI,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
DANDELION MEDICAL CENTRE-KILIMANJARO,,20000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
DARWED DISPENSARY,,50000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
DAWDER DISPENSARY,,320000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
DOPHIL NURSING &amp; MATERNITY HOME NOMIYA FAITH BASED,,40000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
DORAN LIFE CARE CENTRE,,9950.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
DWELE HEALTH CENTRE,,60000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
EAGLE HEALTH AND CLINIC SERVICES,,760000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
EAGLE HEALTH AND CLINIC SERVICES RIRUTA BRANCH,,540000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
EKALAKALA HEALTH CENTRE,,40000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
EKICHELES DISPENSARY,,30000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
EKITALE DISPENSARY,,20000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
ELIMAT GROUP NURSING HOME(BUKHAKUNGA) LIMITED,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
EMBU COUNTY REFERRAL HOSPITAL,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
EMINING HEALTH CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
EMURUTOTO HEALTH CENTRE,,70000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
ENTANDA LEVEL 3 HOSPITAL,,30000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
ERAMBA HEALTH CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
ESIKULU DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
FAIRVIEW MEDICAL CENTRE,,110000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GANDA DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GANYURE DISPENSARY,,30000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GARASHI DISPENSARY,,30000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GARISSA DOCTORS PLAZA,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GATHANGA DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GETA BUSH HEALTH CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GIFTED MINDS MEDICAL CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GILGIL SUB-COUNTY HOSPITAL,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GIRIBE DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GONGO HEALTH CENTRE,,30000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GONGONI HEALTH CENTRE,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GOTICHAKI DISPENSARY,,10000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GRAND ROYALCARE MEDICAL CLINIC LIMITED,,99600.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
GURUFA HEALTH CENTRE,,20000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
HAVEN HEALTHCARE,,200000.0,July,2025,2,SHA_PAYMENTS_JULY_2025_2.pdf
